(19, 928)
(19, 939)
(19, 934)
(21, 930)
(22, 937)
(22, 937)
(26, 927)
(27, 939)
(32, 940)
(34, 937)
(37, 928)
(37, 928)
(37, 940)
(37, 940)
(40, 937)
(42, 940)
(45, 933)
(46, 927)
(46, 927)
(47, 929)
(47, 929)
(50, 928)
(50, 939)
(50, 939)
(53, 930)
(54, 927)
(54, 927)
(55, 932)
(60, 930)
(61, 940)
(61, 940)
(61, 927)
(61, 927)
(61, 933)
(64, 930)
(64, 930)
(64, 937)
(64, 937)
(66, 933)
(66, 933)
(67, 940)
(67, 940)
(69, 930)
(69, 936)
(70, 925)
(73, 940)
(73, 927)
(78, 932)
(78, 932)
(79, 927)
(79, 927)
(81, 930)
(211, 927)
(101, 924)
(103, 931)
(103, 931)
(103, 931)
(110, 930)
(113, 927)
(116, 931)
(122, 928)
(122, 940)
(128, 940)
(129, 927)
(129, 927)
(129, 939)
(131, 931)
(137, 929)
(138, 940)
(138, 940)
(140, 925)
(141, 941)
(144, 941)
