(20, 1020)
(23, 1009)
(23, 1009)
(25, 1013)
(29, 1019)
(29, 1019)
(31, 1013)
(32, 1016)
(32, 1017)
(32, 1017)
(34, 1020)
(36, 1016)
(40, 1007)
(40, 1020)
(40, 1020)
(42, 1012)
(43, 1017)
(45, 1020)
(45, 1020)
(48, 1012)
(48, 1006)
(48, 1006)
(50, 1009)
(50, 1009)
(53, 1007)
(58, 1006)
(58, 1006)
(58, 1011)
(64, 1019)
(64, 1019)
(64, 1007)
(67, 1009)
(67, 1009)
(68, 1016)
(68, 1016)
(70, 1013)
(70, 1013)
(71, 1006)
(71, 1006)
(73, 1010)
(77, 1019)
(77, 1007)
(82, 1012)
(82, 1012)
(84, 1006)
(84, 1006)
(105, 1020)
(105, 1020)
(105, 1007)
(105, 1014)
(109, 1010)
(109, 1010)
(109, 1010)
(109, 1010)
(109, 1010)
(116, 1014)
(119, 1006)
(120, 1018)
(120, 1018)
(129, 1007)
(129, 1003)
(129, 1019)
(132, 1004)
(132, 1004)
(136, 1007)
(136, 1019)
(145, 1008)
(146, 1019)
(146, 1019)
(149, 1007)
(149, 1019)
(149, 1022)
(152, 1021)
