(97, 717)
(97, 717)
(98, 680)
(98, 680)
(98, 705)
(102, 683)
(102, 701)
(102, 701)
(102, 710)
(102, 710)
(139, 717)
(139, 717)
(139, 680)
(139, 680)
(139, 699)
(142, 695)
(142, 695)
(142, 683)
(142, 683)
(142, 703)
(142, 703)
(147, 689)
(160, 699)
(160, 699)
(162, 679)
(162, 679)
(163, 690)
(163, 718)
(163, 718)
(204, 683)
(205, 714)
(205, 714)
(206, 680)
(210, 684)
(211, 679)
(211, 679)
(221, 683)
(221, 683)
(225, 681)
(230, 684)
(230, 684)
(236, 691)
(240, 679)
(240, 679)
(300, 717)
(300, 717)
(300, 680)
(300, 680)
(301, 705)
(304, 683)
(304, 683)
(304, 709)
(305, 710)
(305, 710)
(305, 700)
(333, 718)
(339, 706)
(341, 711)
(341, 711)
(344, 703)
(344, 703)
(351, 681)
(351, 686)
(351, 686)
(351, 687)
(351, 687)
(359, 703)
(359, 703)
(359, 703)
(361, 711)
(361, 711)
(363, 706)
(369, 718)
(374, 711)
(381, 717)
(381, 717)
(381, 680)
(381, 680)
(382, 699)
(386, 695)
(386, 695)
(386, 703)
(386, 703)
(407, 703)
(408, 695)
(408, 695)
(408, 703)
(411, 699)
(412, 680)
(412, 680)
(412, 718)
(412, 718)
