(20, 999)
(20, 1012)
(21, 1006)
(23, 1002)
(23, 1002)
(23, 1010)
(23, 1010)
(25, 1006)
(29, 999)
(29, 999)
(29, 1012)
(29, 1012)
(31, 1006)
(32, 1010)
(34, 1013)
(40, 1007)
(40, 1007)
(40, 1000)
(40, 1000)
(40, 1013)
(40, 1013)
(43, 1010)
(48, 1005)
(50, 1002)
(50, 1002)
(53, 1000)
(53, 1012)
(53, 1012)
(58, 999)
(58, 999)
(63, 1002)
(64, 1012)
(64, 1012)
(64, 1006)
(64, 999)
(67, 1002)
(67, 1002)
(70, 1006)
(70, 1006)
(71, 999)
(71, 999)
(71, 1013)
(71, 1013)
(72, 1009)
(73, 1003)
(74, 997)
(77, 999)
(80, 1002)
(82, 1005)
(82, 1005)
(84, 999)
(84, 999)
(105, 1003)
(105, 1013)
(105, 1013)
(105, 999)
(105, 999)
(105, 1007)
(108, 1010)
(108, 1010)
(109, 1003)
(109, 1003)
(109, 1003)
(113, 1000)
(116, 1001)
(120, 999)
(120, 1011)
(120, 1011)
(129, 1000)
(129, 1013)
(136, 1012)
(139, 1004)
(139, 1004)
(145, 1001)
(146, 1013)
(146, 1013)
(149, 1012)
(149, 1014)
