(66, 389)
(66, 389)
(82, 394)
(82, 389)
(82, 389)
(217, 388)
(220, 399)
(220, 384)
(223, 386)
(223, 386)
(225, 389)
(228, 386)
(228, 386)
(230, 384)
(230, 384)
(231, 399)
(241, 393)
(241, 393)
(251, 389)
(251, 399)
(251, 399)
(254, 394)
(254, 394)
(254, 397)
(255, 394)
(255, 394)
(258, 394)
(258, 394)
(259, 388)
(259, 388)
(259, 399)
(259, 399)
(261, 393)
(261, 393)
(261, 397)
(261, 397)
(265, 389)
(265, 389)
(269, 396)
(269, 396)
(272, 398)
(272, 398)
(272, 393)
(275, 389)
(276, 393)
(277, 386)
(278, 389)
(278, 398)
(278, 398)
(282, 396)
(282, 390)
(284, 393)
(285, 398)
(288, 389)
(288, 393)
(291, 395)
(291, 389)
(295, 396)
(295, 396)
(298, 393)
(298, 398)
(298, 398)
(301, 397)
(303, 393)
(307, 399)
(307, 399)
(307, 388)
(312, 393)
(316, 388)
(320, 395)
(320, 396)
(320, 396)
(320, 396)
(320, 396)
(336, 391)
(340, 394)
(342, 392)
(342, 392)
(343, 383)
(343, 383)
(346, 387)
(347, 394)
(354, 394)
(358, 396)
(362, 395)
(362, 395)
(363, 399)
(366, 389)
(369, 391)
(369, 391)
(372, 388)
(372, 399)
(378, 389)
(378, 389)
(379, 399)
(379, 399)
(380, 395)
(382, 396)
(382, 396)
(382, 396)
(392, 399)
(395, 396)
(395, 396)
(399, 389)
(399, 389)
(399, 399)
(402, 396)
(402, 396)
(406, 389)
(406, 389)
(412, 393)
(414, 388)
(415, 396)
(419, 398)
(420, 393)
(420, 393)
